"August 9, 2022",Carr Joins Sullivan in Alaska,Carr Joins Senator Sullivan in Alaska with Broadband Officials,News Relea,"Media Relations, Office of Commissioner C","Events Focus on Expanding Connectivity, Telehealth, Workforce, and New Federal Program",https://docs.fcc.gov/public/attachments/DOC-386086A1.pdf,https://www.fcc.gov/document/carr-joins-sullivan-alaska
"July 18, 2022",FCC Tribal Workshop August 9-10 in Oklahoma,CC Announces A Tribal Workshop To Be Held August 9-10 At The Cherokee Nation,Public Noti,Consumer and Governmental Affai,unknown,https://docs.fcc.gov/public/attachments/DA-22-777A1.pdf,https://www.fcc.gov/document/fcc-tribal-workshop-august-9-10-oklahoma
"July 18, 2022",FCC Begins Proceeding on Supporting Survivors of Domestic Violence,Lifeline and Link Up Reform and Modernization; Affordable Connectivity Program; Supporting Survivors of Domestic and Sexual Violenc,Notice of Inquir,Wireline Competition,unknown,https://docs.fcc.gov/public/attachments/FCC-22-56A1.pdf,https://www.fcc.gov/document/fcc-begins-proceeding-supporting-survivors-domestic-violence-0
"July 18, 2022",Carr Thanks Michael Nemcik for Serving as Acting Legal Advisor,Carr Thanks FCC Attorney Michael Nemcik for Serving as Acting Legal Advisor,Sta,"Media Relations, Office of Commissioner C",unknown,https://docs.fcc.gov/public/attachments/DOC-385396A1.pdf,https://www.fcc.gov/document/carr-thanks-michael-nemcik-serving-acting-legal-advisor
"July 18, 2022",FCC Establishes Enhanced Competition Incentive Program,"Partitioning, Disaggregation, and Leasing of Spectrum, WT Docket No. 19-38, Report and Order and Second Further Notice of Proposed Rulemaking","Report and Order, FNPRM",Wireless Telecommunication,unknown,https://docs.fcc.gov/public/attachments/FCC-22-53A1.pdf,https://www.fcc.gov/document/fcc-establishes-enhanced-competition-incentive-program-0
"July 18, 2022",FCC Announces Supply Chain Reimbursement Program Approved Applications,Wireline Competition Bureau Announces the Grant of Applications for the Secure and Trusted Communications Networks Reimbursement Program,Public Noti,Wireline Competition,unknown,https://docs.fcc.gov/public/attachments/DA-22-774A1.pdf,https://www.fcc.gov/document/fcc-announces-supply-chain-reimbursement-program-approved-applications
"July 15, 2022",FCC Announces Tentative Agenda for August Open Meeting,CC Announces Tentative Agenda for August Open Meeting,News Relea,"Managing Director, Media Relation","FCC Chairwoman Jessica Rosenworcel announced the items tentatively on the agenda for the August Open Commission Meeting scheduled for Friday, August 5, 2022",https://docs.fcc.gov/public/attachments/DOC-385346A1.pdf,https://www.fcc.gov/document/fcc-announces-tentative-agenda-august-open-meeting-8
"July 15, 2022",FCC Proposes Updated Rules to Eliminate Access Arbitrage,Updating the Intercarrier Compensation Regime to Eliminate Access Arbitrag,FNPRM,Wireline Competition,unknown,https://docs.fcc.gov/public/attachments/FCC-22-54A1.pdf,https://www.fcc.gov/document/fcc-proposes-updated-rules-eliminate-access-arbitrage-0
"July 15, 2022",U.S. Transition to 988 Suicide & Crisis Lifeline Begins July 16,U.S. Transition to 988 Suicide & Crisis Lifeline Begins July 16.  The New Easy-to-Remember 3-Digit Number Provides Access to Suicide Prevention and Mental Health Crisis Services Nationwid,News Relea,"Wireline Competition, Media Relations, Office of Chairwoman Rosenworcel","On Saturday, July 16, the U.S. will transition the 10-digit National Suicide Prevention Lifeline to 988 – an easy-to-remember three-digit number for 24/7 crisis ca",https://docs.fcc.gov/public/attachments/DOC-385324A1.pdf,https://www.fcc.gov/document/us-transition-988-suicide-crisis-lifeline-begins-july-16
"July 15, 2022",Chairwoman Rosenworcel Proposes to Increase Minimum Broadband Speeds,Chairwoman Rosenworcel Proposes To Increase Minimum Broadband Speeds  And Set Gigabit Future Goa,News Relea,"Wireline Competition, Media Relations, Office of Chairwoman Rosenworcel, Economics and Analytic",Proposed Benchmarks Aimed at Giving Public Faster Broadband Serv,https://docs.fcc.gov/public/attachments/DOC-385322A1.pdf,https://www.fcc.gov/document/chairwoman-rosenworcel-proposes-increase-minimum-broadband-speeds
"July 15, 2022",Carr House TikTok Testimony,"stimony Of Brendan Carr Commissioner FCC Before The Subcommittee On National Security Of The US House Of Representatives Committee On Oversight And Reform, ""Protecting Military Servicemembers And Veterans From Financial Scams And Fraud"", July 13, 2022",Testi,"Media Relations, Office of Commissioner C",unknown,https://docs.fcc.gov/public/attachments/DOC-385321A1.pdf,https://www.fcc.gov/document/carr-house-tiktok-testimony
"July 14, 2022",FCC Proposes $116M Robocall Fine for Toll-Free Traffic Pumping Scheme,In the Matter of Thomas Dorsher; ChariTel Inc; OnTel Inc; and ScammerBlaster Inc,"NAL, Notice of Apparent Liability For Forfeitur",Enforcement,unknown,https://docs.fcc.gov/public/attachments/FCC-22-57A1.pdf,https://www.fcc.gov/document/fcc-proposes-116m-robocall-fine-toll-free-traffic-pumping-scheme-0
"July 14, 2022",FCC Proposes to Update Publication Used to Determine Local TV Markets,Update to Publication for Television Broadcast Station DMA Determinations for Cable and Satellite Carriag,Notice of Proposed Rulemaking,Medi,unknown,https://docs.fcc.gov/public/attachments/FCC-22-55A1.pdf,https://www.fcc.gov/document/fcc-proposes-update-publication-used-determine-local-tv-markets
"July 13, 2022",FCC Announces Over $266 Million in Emergency Connectivity Funding,CC Announces Over $266 Million In Emergency Connectivity Funding For Schools And Libraries,News Relea,"Wireline Competition, Media Relations, Consumer and Governmental Affai","To Date, Nearly $5.6 Billion in Funding Committed in Ongoing Work to Close the Homework Ga",https://docs.fcc.gov/public/attachments/DOC-385229A1.pdf,https://www.fcc.gov/document/fcc-announces-over-266-million-emergency-connectivity-funding
"July 13, 2022","Deletion of Item From Thursday, July 14, 2022 Open Meeting","Deletion of Item From Thursday, July 14, 2022 Open Meeting",Sunshi,Managing Directo,"letion of Item From Thursday, July 14, 2022 Open Meeting",https://docs.fcc.gov/public/attachments/DOC-385228A1.pdf,https://www.fcc.gov/document/deletion-item-thursday-july-14-2022-open-meeting
"July 13, 2022",FCC Updates and Proposes Rules for LPTV and TV Translator Stations,"Amendment of Parts 73 and 74 of the Commission's Rules to Establish Rules for Digital Low Power Television and Television Translator Stations, Update of Parts 74 of the Commission's Rules Related to Low Power Television and Television Translator Stations",Order,Medi,unknown,https://docs.fcc.gov/public/attachments/FCC-22-58A1.pdf,https://www.fcc.gov/document/fcc-updates-and-proposes-rules-lptv-and-tv-translator-stations
"July 12, 2022",Chairwoman Rosenworcel on Foreign Sponsorship ID Court Decision,Chairwoman Rosenworcel Statement On Foreign Sponsorship ID Circuit Court Decision,Sta,"Media Relations, Office of Chairwoman Rosenworcel",unknown,https://docs.fcc.gov/public/attachments/DOC-385188A1.pdf,https://www.fcc.gov/document/chairwoman-rosenworcel-foreign-sponsorship-id-court-decision
"July 11, 2022",Chair Rosenworcel Highlights Recent Efforts to Increase Competition,Chairwoman Rosenworcel Highlights FCC's Recent Efforts To Increase Competition,News Relea,"Media Relations, Office of Chairwoman Rosenworcel",unknown,https://docs.fcc.gov/public/attachments/DOC-385135A1.pdf,https://www.fcc.gov/document/chair-rosenworcel-highlights-recent-efforts-increase-competition
"July 11, 2022",Auction 108 (2.5 GHz Band) Qualified Bidders,Auction of Flexible-Use Licenses in the 2.5 GHz Band for Next-Generation Wireless Services; 82 Applicants Qualified to Bid in Auction 108,Public Noti,"Economics and Analytics, Wireless Telecommunication",unknown,https://docs.fcc.gov/public/attachments/DA-22-736A1.pdf,https://www.fcc.gov/document/auction-108-25-ghz-band-qualified-bidders
"July 11, 2022",Chairwoman Rosenworcel Announces Staff Changes,Chairwoman Rosenworcel Announces Staff Changes,News Relea,"Media Relations, Office of Chairwoman Rosenworcel",unknown,https://docs.fcc.gov/public/attachments/DOC-385129A1.pdf,https://www.fcc.gov/document/chairwoman-rosenworcel-announces-staff-changes-1
"July 8, 2022",FCC Proposes Fine Against Verizon for Failure to Produce Documents,CC Takes Enforcement Action Against Verizon Wireless For Not Providing Information Related To Accessibility Of Its Premium Visual Voicemail Servic,News Relea,"Enforcement, Media Relation",Company Failed to Respond to Inquiries Alleging Violation of Accessibility Rul,https://docs.fcc.gov/public/attachments/DOC-385087A1.pdf,https://www.fcc.gov/document/fcc-proposes-fine-against-verizon-failure-produce-documents-0
"July 7, 2022",FCC Takes Actions Against Auto Warranty Scam Robocall Campaign,CC Authorizes Phone Companies To Cut Off Likely Auto Warranty Scam Robocall Campaign; Enforcement Bureau is Investigating an International Operation for Facilitating Billions of Possibly Illegal Robocalls,News Relea,"Enforcement, Media Relations, Office of Chairwoman Rosenworcel","The FCC opened up an investigation, issued cease-and-desist letters to specified providers, and ordered all networks to lookout for auto warranty robocalls generated by Roy Cox, Jr., Aaron Michael Jones, and their Sumco Panama compa",https://docs.fcc.gov/public/attachments/DOC-385038A1.pdf,https://www.fcc.gov/document/fcc-takes-actions-against-auto-warranty-scam-robocall-campaign
"July 7, 2022","FCC To Hold Commission Meeting, Thursday, July 14, 2022","CC To Hold Commission Meeting, Thursday, July 14, 2022",Sunshi,Oth,Sunshine N,https://docs.fcc.gov/public/attachments/DOC-385037A1.pdf,https://www.fcc.gov/document/fcc-hold-commission-meeting-thursday-july-14-2022
"July 6, 2022",FCC Acts to Improve Network Resiliency During Disasters,"Resilient Networks, et al.",R&O/NPRM,Public Safety and Homeland Security,unknown,https://docs.fcc.gov/public/attachments/FCC-22-50A1.pdf,https://www.fcc.gov/document/fcc-acts-improve-network-resiliency-during-disasters
"July 1, 2022",FCC Consumer Advisory Committee Seeks Applications for Membership,CC Announces Anticipated Renewal of its Consumer Advisory Committee and Solicits Nominations for Membership,Public Noti,Consumer and Governmental Affai,unknown,https://docs.fcc.gov/public/attachments/DA-22-710A1.pdf,https://www.fcc.gov/document/fcc-consumer-advisory-committee-seeks-applications-membership
"July 1, 2022",FCC Sets July 22 Communications Equity & Diversity Council Meeting,"CC Announces July 22, 2022 Communications Equity and Diversity Council Meeting",Public Noti,Medi,unknown,https://docs.fcc.gov/public/attachments/DA-22-711A1.pdf,https://www.fcc.gov/document/fcc-sets-july-22-communications-equity-diversity-council-meeting
"July 1, 2022",FCC Proposes a $220K Fine for Apparent Wire Fraud in EBB Program,In the Matter of Kyle Traxler and Cleo Communications,NAL,Enforcement,unknown,https://docs.fcc.gov/public/attachments/FCC-22-52A1.pdf,https://www.fcc.gov/document/fcc-proposes-220k-fine-apparent-wire-fraud-ebb-program
"June 30, 2022",FCC Adopts Four-Year IP Relay Compensation Formula,communications Relay Services and Speech-to-Speech Services for Individuals with Hearing and Speech Disabilities; Petition for Rulemaking of Sprint Corporation,Report and Order,Consumer and Governmental Affai,unknown,https://docs.fcc.gov/public/attachments/FCC-22-48A1.pdf,https://www.fcc.gov/document/fcc-adopts-four-year-ip-relay-compensation-formula
"June 30, 2022","FCC Modernizes VRS and IP CTS Rules, Proposes Further Improvements",communications Relay Services and Speech-to-Speech Services for Individuals with Hearing and Speech Disabilities; Structure and Practices of the Video Relay Services Program; Misuse of Internet Protocol (IP) Captioned Telephone Service; et a,"R&O/NPRM, Order, Declaratory Ruling",Consumer and Governmental Affai,unknown,https://docs.fcc.gov/public/attachments/FCC-22-51A1.pdf,https://www.fcc.gov/document/fcc-modernizes-vrs-and-ip-cts-rules-proposes-further-improvements
"June 30, 2022",FCC Announces Nearly $159 Million In Emergency Connectivity Funding,CC Announces Nearly $159 Million In Emergency Connectivity Funding For Schools And Libraries,News Relea,"Wireline Competition, Media Relations, Consumer and Governmental Affai",Over 12.7 Million Students Benefitting from Program Support in Ongoing Work to Close the Homework Ga,https://docs.fcc.gov/public/attachments/DOC-384802A1.pdf,https://www.fcc.gov/document/fcc-announces-nearly-159-million-emergency-connectivity-funding
"June 30, 2022",Inaugural Broadband Data Collection Filing Window Opens,Inaugural Filing Window for Broadband Data Collection Has Opened,Public Noti,Wireless Telecommunication,unknown,https://docs.fcc.gov/public/attachments/DA-22-696A1.pdf,https://www.fcc.gov/document/inaugural-broadband-data-collection-filing-window-opens
"June 30, 2022",FCC Expands TRS Fund Contribution Base for VRS and IP Relay,communications Relay Services and Speech-to-Speech Services for Individuals with Hearing and Speech Disabilities; Structure and Practices of the Video Relay Service Program; Misuse of Internet Protocol Relay Servic,Report and Order,Consumer and Governmental Affai,unknown,https://docs.fcc.gov/public/attachments/FCC-22-49A1.pdf,https://www.fcc.gov/document/fcc-expands-trs-fund-contribution-base-vrs-and-ip-relay
"June 30, 2022",FCC Closes Robocall Loophole,CC Closes Robocall Loophole: Requiring Non-Facilities Based Small Voice Service Providers to Implement STIR/SHAKEN,News Relea,"Wireline Competition, Media Relation",unknown,https://docs.fcc.gov/public/attachments/DOC-384793A1.pdf,https://www.fcc.gov/document/fcc-closes-robocall-loophole
"June 27, 2022",Starks Remarks At Ericsson's 2022 Broadband For All Summit,"Remarks Of Commissioner Geoffrey Starks Before Ericsson's 2022 Broadband For All Summit, Stockholm, Sweden",Speech,"Office of Commissioner Starks, Media Relation",Speech,https://docs.fcc.gov/public/attachments/DOC-384659A1.pdf,https://www.fcc.gov/document/starks-remarks-ericssons-2022-broadband-all-summit
"June 24, 2022",FCC and Library Agency Sign Agreement to Promote Broadband Access,CC And Institute Of Museum And Library Services Sign Agreement To Promote Broadband Access,News Relea,"Wireline Competition, Media Relation",Partnership to Focus on Expanding Digital Inclu,https://docs.fcc.gov/public/attachments/DOC-384621A1.pdf,https://www.fcc.gov/document/fcc-and-library-agency-sign-agreement-promote-broadband-access-0
"June 23, 2022",Broadband Data Collection System Available for Filer Registration,Broadband Data Task Force Announces Access to the Broadband Data Collection System for Purposes of Registering Filer Information,Public Noti,Wireless Telecommunication,unknown,https://docs.fcc.gov/public/attachments/DA-22-672A1.pdf,https://www.fcc.gov/document/broadband-data-collection-system-available-filer-registration
"June 23, 2022",FCC Announces Tentative Agenda for July Open Meeting,CC Announces Tentative Agenda for July Open Meeting,News Relea,Media Relation,"FCC Chairwoman Jessica Rosenworcel announced the items tentatively on the agenda for the July Open Commission Meeting scheduled for Thursday, July 14, 2022",https://docs.fcc.gov/public/attachments/DOC-384565A1.pdf,https://www.fcc.gov/document/fcc-announces-tentative-agenda-july-open-meeting-9
"June 22, 2022",FCC Seeks Comment on Deployment of Next Generation TV Technology,"In the Matter of Authorizing Permissive Use of the ""Next Generation"" Broadcast Television Standard",Notice of Proposed Rulemaking,Medi,unknown,https://docs.fcc.gov/public/attachments/FCC-22-47A1.pdf,https://www.fcc.gov/document/fcc-seeks-comment-deployment-next-generation-tv-technology
"June 15, 2022","Chair Rosenworcel Statement on NG911, Supply Chain Fund Funding",Chairwoman Rosenworcel Statement On Congressional Action To Advance Funding For Next-Gen 911,Sta,"Media Relations, Office of Chairwoman Rosenworcel",unknown,https://docs.fcc.gov/public/attachments/DOC-384302A1.pdf,https://www.fcc.gov/document/chair-rosenworcel-statement-ng911-supply-chain-fund-funding
"June 15, 2022","Carr Welcomes Vote on Wireless Resiliency Rules, Notes Strong Support",Carr Welcomes FCC Vote on Wireless Resiliency Proposal and Notes Strong Public Safety Support for This Approach to Strengthening Networks,News Relea,"Media Relations, Office of Commissioner C","Public Safety and First Responder Groups Support Effort to Create Stronger, Enforceable Protections for Consumers During Disa",https://docs.fcc.gov/public/attachments/DOC-384295A1.pdf,https://www.fcc.gov/document/carr-welcomes-vote-wireless-resiliency-rules-notes-strong-support
"June 15, 2022",Rosenworcel Proposes Improvements to Wireless Comms During Disasters,Chairwoman Rosenworcel Proposes Improvements To Wireless Communications During Disasters,News Relea,"Public Safety and Homeland Security, Media Relations, Office of Chairwoman Rosenworcel","If Adopted, New Rules Would Make Enforceable and Expand Upon the Wireless Network Resiliency Cooperative Framework",https://docs.fcc.gov/public/attachments/DOC-384294A1.pdf,https://www.fcc.gov/document/rosenworcel-proposes-improvements-wireless-comms-during-disasters
"June 15, 2022",Live Broadband Data Collection System Preview Announced,Broadband Data Task Force Announces Webinar on Using the Broadband Data Collection System,Public Noti,"Wireline Competition, Consumer and Governmental Affairs, Economics and Analytics, Wireless Telecommunication",unknown,https://docs.fcc.gov/public/attachments/DA-22-640A1.pdf,https://www.fcc.gov/document/live-broadband-data-collection-system-preview-announced
"June 15, 2022","Broadband Data Collection Filings Due by September 1, 2022",All Facilities-Based Broadband Internet Access Service Providers Must Timely File Complete and Accurate Data in the Broadband Data Collection,Advisor,Enforcement,unknown,https://docs.fcc.gov/public/attachments/DA-22-639A1.pdf,https://www.fcc.gov/document/broadband-data-collection-filings-due-september-1-2022
"June 13, 2022",FCC Reminds Small Providers of June 30 STIR/SHAKEN Deadline,Wireline Competition Bureau Reminds Non-Facilities-Based Small Providers of STIR/SHAKEN Implementation Deadlin,Public Noti,Wireline Competition,unknown,https://docs.fcc.gov/public/attachments/DA-22-631A1.pdf,https://www.fcc.gov/document/fcc-reminds-small-providers-june-30-stirshaken-deadline
"June 10, 2022",Carr Calls for National Broadband Strategy,New GAO Watchdog Report Underscores Carr's Concerns About the Absence of a National Strategy Coordinating Billions in Broadband Infrastructure Spending,Sta,"Media Relations, Office of Commissioner C",unknown,https://docs.fcc.gov/public/attachments/DOC-384164A1.pdf,https://www.fcc.gov/document/carr-calls-national-broadband-strategy
"June 10, 2022",FCC Announces CSRIC VIII Meeting on June 15,"CC Announces the Fourth Meeting of the Communications Security, Reliability, and Interoperability Council VIII on June 15, 2022",Public Noti,Public Safety and Homeland Security,unknown,https://docs.fcc.gov/public/attachments/DA-22-626A1.pdf,https://www.fcc.gov/document/fcc-announces-csric-viii-meeting-june-15
"June 9, 2022",FCC Examines Location-Based Routing for Wireless 911 Calls,deral Communications Commission Seeks to Refresh the Record on Location-Based Routing for Wireless 911 Calls,Public Noti,Public Safety and Homeland Security,unknown,https://docs.fcc.gov/public/attachments/FCC-22-42A1.pdf,https://www.fcc.gov/document/fcc-examines-location-based-routing-wireless-911-calls-0
